dataset ID,text ID,text,class,groundtruth explanation,alpaca_zsl,alpaca_fsl,alpaca_kg,flan_t5_zsl,flan_t5_fsl,flan_t5_kg,mt0_zsl,mt0_fsl,mt0_kg,llama_zsl,llama_ft,llama_kg_ft
HX,6653253_gab,if money was grown on trees women would be dating monkeys oh wait never mind,hate_speech,It contains the following hateful words: if money was grown on trees women would be dating monkeys oh wait never mind ,"if money were grown on trees, women would be able to date monkeys, which is a great way to make money.","if money were grown on trees, women would be able to date monkeys, which is a great way to make money.","if money was grown on trees, women would be able to date monkeys, which is a great way to make money.","money is a commodity that can be used to buy things, and it is a commodity that can be used to buy things.",it is not a question of money or money. it is a question of how we make money.,"money is a commodity that can be used to buy things, and it is a commodity that can be used to buy things.",a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a =,a = input() a = input() a = input() a = input() a = input() a = input() a = input() a = input() ,a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a =,the input text is hateful because it contains offensive language and insults to women.,Explanation: It contains the following hateful words: if money was grown on trees women would be dating monkeys oh wait never mind .,Explanation: It contains the following hateful words: money was grown on trees women would be dating monkeys .
HX,1179096372479320064_twitter,<user> <user> <user> no one wants to leave one homeland and go somewhere because they were forced thats why they had to leave their home land and roam like refugee,neutral,The text does not contain abusive language.,the reason why people are so unhappy with their own home land is that they are not able to afford the resources and resources they need to live in a better place. this is because they are not able to afford the resources and resources,the reason why people are forced to leave their home land and roam like refugees is because they are unable to afford the resources and resources they need to survive. this is because they are unable to afford the resources and resources they need to survive,the fact that no one wants to leave one homeland and go somewhere because they were forced to leave their home land and roam like refugees is a major reason why it is hateful.,the reason that people want to leave one homeland and go somewhere is because they are forced to leave their homeland.,it contains the following hateful words: user> user> user> user> user> user> user> user> user> user>,the reason that people are forced to leave their homeland is because they are forced to live in a country that is not a country.,a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() ,a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() ,a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() a = input_text() ,"the word ""hateful"" in this sentence refers to the word ""homeland"". this word is used to describe a place where someone was born or grew up. it can also be used to refer to a country. in this case,",Explanation: The text does not contain abusive language..,Explanation: The text does not contain abusive language..
HX,15319506_gab,i graduated from university high in irvine in the mid 7 0 i think the last time it was mostly white was maybe in the mid <number> or so all the vc got moved into garden grove and now almost all of oc is beaners and slopes,hate_speech,It contains the following hateful words: beaners slopes ,the last time it was mostly white was maybe in the mid number> or so all the vc got moved into garden grove and now almost all of oc is beaners and slopes.,the last time it was mostly white was maybe in the mid number> or so all the vc got moved into garden grove and now almost all of oc is beaners and slopes.,the last time it was mostly white was maybe in the mid number> or so all the vc got moved into garden grove and now almost all of oc is beaners and slopes.,the majority of the population of irvine is white.,it is a very small town in the southern part of the state of california.,the majority of the population is white.,i graduated from university high in irvine in the mid 7 0 i think the last time it was mostly white was maybe in the mid <number> or so all the vc got moved into garden grove,i graduated from university high in irvine in the mid 7 0 i think the last time it was mostly white was maybe in the mid <number> or so all the vc got moved into garden grove,i graduated from university high in irvine in the mid 7 0 i think the last time it was mostly white was maybe in the mid <number> or so all the vc got moved into garden grove,the input text is hateful because it contains racist language.,Explanation: It contains the following hateful words: beaners,Explanation: It contains the following hateful words: beaners and s
HX,1639890_gab,a b testing is a bitch when you can not find a delete button <user>,offensive,It contains the following hateful words: testing is a bitch when you can not find a delete button ,this is because deleting a button is a bitch when you don't know where to start. it is because the user is not able to delete the button. this is because the user is not able to delete the,the b testing is a bitch when you cannot find a delete button. it is because the user is not able to delete the file. this is because the user is not able to delete the file.,this is because the user is not able to delete the button. this is because the user is not able to delete the button.,the b testing function is a bitch when you can't find a delete button.,it contains the following hateful words: a b testing is a bitch when you can not find a delete button.,the b testing is a bitch when you can't find a delete button.,a b testing is a bitch when you can not find a delete button <user>.,a b testing is a bitch when you can not find a delete button <user>,a b testing is a bitch when you can not find a delete button <user>,"the word ""bitch"" is considered offensive and hateful by many people.",Explanation: The text does not contain abusive language..,Explanation: The text does not contain abusive language..
IH,725393117986316288,white genocide accelerates germany three large german cities tip non-white auspol via,implicit_hate,It implies the following hateful statement: Minorities are taking over society,"the white genocide has caused a significant increase in the number of non-white citizens in germany, leading to a decrease in the number of people living in germany. this is due to the fact that the population of germany is ","the white genocide has caused a significant increase in the number of people living in germany, with the three large german cities tipping non-white austrians via the internet. this has led to a significant increase in the number","the white genocide of germany was a major event in the history of the country. it was a major event in the history of the country, and it was a major event in the history of the country. it was ",the german government has been criticized for its stance on the issue of white genocide.,the german government has been criticized for its stance on the issue of white genocide.,the white genocide of germany (german:    ) was a genocide of the german people in world war ii. the germans were able to escape from the german empire and the soviet union,a genocide accelerates germany three large german cities tip non-white auspol via.,"a sentence written by david lane describes a task, paired with input text. a sentence written by rt called business way savage debatenight.",why did nazis destroy jewish businesses?,"the word ""hateful"" in this sentence refers to the word ""genocide"". genocide is defined as the deliberate killing of a large group of people, especially those of a particular race or ethnicity. in this",Explanation: it contains the following hateful implied statement: Minorities are taking over.,Explanation: The text does not contain abusive language.
IH,537349392349818881,would like know real world example racial equality demonstrated,implicit_hate,It implies the following hateful statement: Progressives are liars,"racial equality is a fundamental human right that is essential for achieving a better world. it is a fundamental human right that is based on the principle that all people have the right to equal opportunities, regardless of their race,","racial equality is a fundamental human right that should be respected and respected. it is a fundamental right that should be respected and respected, and should be respected in all forms of society. it should be a fundamental right that should be","racial equality is a human right that is based on the principle that all people have the right to equal opportunities and opportunities. it is a right that should be respected and respected, and should be respected in all forms of life.",the united states has a history of racial discrimination.,the united states has been a leader in racial equality since the civil rights movement.,the racial equality of the world is a result of the racial equality of the world.,would like know real world example racial equality demonstrated.,r called business way savage debatenight.,would like know real world example racial equality demonstrated.,"racial equality is when people of different races are treated equally and fairly in all aspects of life. this means that everyone has equal opportunities to succeed regardless of their race or ethnicity. for example, if two people apply for the",Explanation: The text does not contain abusive language.,Explanation: The text does not contain abusive language.
IH,772899510456582144,istandfordiversity white race already diversity needs n't need mass immigration join,implicit_hate,It implies the following hateful statement: Immigrants are inferior.,"the white race is already a major factor in the global economy, and it is important to ensure that the diversity of the population is not a barrier to achieving a better future.","the white race is already a major factor in the immigration process, and it is important to ensure that the immigration process is fair and equitable.","the whiteness of the stanford university campus is a stark contrast to the whiteness of the surrounding area. the whiteness of the campus is a stark contrast to the whiteness of the surrounding area, which is a stark contrast to",the white race is already a minority in the united states.,"the white race is already a minority in the united states, and it is not necessary to join mass immigration.",the white race is a race that is not a race.,istandfordiversity white race already diversity needsn't need mass immigration join.,istandfordiversity white race already needsn't need mass immigration join.,istandfordiversity white race already diversity needsn't need mass immigration join.,"the word ""diversity"" in this sentence refers to the idea of having people from different backgrounds and cultures living together in harmony. this is often seen as a positive thing, but it can also be used in a negative way",Explanation: it contains the following hateful implied statement: Immigrants are taking over,Explanation: it contains the following hateful implied statement: Minorities are inferior
HX,22358188_gab,do not worry uk you worked hard cannot afford carehome fees we take your house oh look in london another muzzie family in a nice flat good on you where the tex goes its a shocker,hate_speech,It contains the following hateful words: muzzie ,"i am sorry to hear that you are not able to afford carehome fees. we are unable to provide the necessary care for you, so we are unable to provide the necessary care. we are unable to provide the necessary care","i am sorry to hear that you are struggling financially. we are taking your house to a family in london, and we are looking for a suitable place to live.","the capital and largest city of the united kingdom is a major hub for many people, and it is a major source of income for many people. it is also a major source of employment for many people, and it is a",the cost of carehome fees is a shocker.,it is a shocker that a family can not afford to care for their own children.,the text is a slang term for a family that lives in a house or flat.,a shocker is a shocker.,a = input() a = input() a = input() a = input() a = input() a = input() a = input() a = input() ,"a lone wolf terrorist attacked a jewish community center in nice, france","the input text contains the word ""hateful"".",Explanation: It contains the following hateful words: muzzie .,Explanation: It contains the following hateful words: muzzie .
HX,1193298995734622215_twitter,fellas is it gay to have gay friends,offensive,It contains the following hateful words: fellas is it gay to have gay friends ,"it is generally accepted that having a gay friend is a positive experience, as it can help to build a sense of belonging and connection. it can also help to create a sense of community and connection, as it can help to",it is not necessarily true that having gay friends is a good thing. it is also not necessarily true that it is a good thing to have a good time with your friends.,"it is generally accepted that having a gay friend is a positive experience, but it is also a risky and potentially harmful experience.",the gay community is a group of people who are gay.,it is not a good idea to have a gay friend if you are gay.,the gay community is a group of people who are gay.,a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a =,a = input() a = input() a = input() a = input() a = input() a = input() a = input() a = input() ,a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a = 'hateful' a =,it's not hateful because it doesn't contain any hate speech or slurs.,Explanation: The text does not contain abusive language..,Explanation: The text does not contain abusive language..
HX,7645213_gab,we hate islam and we will mock your paedophile prophet mohammed as much as we want no we dont care what you think or how offended you are we are americans and we are free to say what we want bitch banislam,hate_speech,It contains the following hateful words: we hate islam and we will mock your paedophile prophet mohammed as much as we want no we dont care what you think or how offended you are we are americans and we are free to say what we want bitch banislam ,"we are not a nation of muslims, and we are not a nation of apes. we are not a nation of apes, and we are not a nation of apes. we are",the text is expressing a hateful attitude towards islam. it implies that the speaker is a slut and is not willing to take kindly to the person's opinion. it implies that the speaker is a,"the united states of america is a nation of diverse people, and it is important to recognize that the people of the united states are not just a group of people who are hating islam, but also a group of people who",muslims hate islam because they believe in the prophet muhammad. muslims believe in the prophet muhammad. muslims believe in the prophet muhammad.,we hate islam and we will mock your paedophile prophet mohammed as much as we want no we are americans and we are free to say what we want bitch banislam.,muslims are not allowed to speak out against islam.,"a dictionary describes a task, paired with input text.","a = input() a = a.count('a', 'b', 'c', 'd', 'd', 'd', 'd', ","a dictionary describes a task, paired with input text.",the input text is hateful because it contains many insults directed at islam and muslims. it also includes threats of violence against muslims.,Explanation: It contains the following hateful words: we hate islam and we will mock your paedophile prophet m,Explanation: It contains the following hateful words: we hate islam and we will mock your paedophile prophet moh
